Dataset      Queryset  ChgQRatio     Method       Time     AvgMem    PeakMem       #Out      #OutQ
FC            FC_Q100        0.4       OURS    2934.35       21.0       51.4        259        369
FC            FC_Q100        0.8        SOP   70756.90      236.3      271.5        721        887
FC            FC_Q100        0.8     pMCSKY   71164.70      180.3      215.2        721        887
FC            FC_Q100        0.8       OURS    2539.35       21.0       50.2        721        887
FC            FC_Q100        1.0        SOP   74364.89      240.0      272.6         51         60
FC            FC_Q100        1.0     pMCSKY   75284.71      184.0      216.4         51         60
FC            FC_Q100        1.0       OURS    1833.61       21.0       44.2         51         60

FC            FC_Q100        0.0        SOP    9021.51      231.0      257.4        187        279
FC            FC_Q100        0.0     pMCSKY    8828.66      190.0      222.5        187        279
FC            FC_Q100        0.0       OURS    1035.73       21.0       52.5        187        279
FC            FC_Q100        0.2        SOP   54580.52      221.3      269.0        167        245
FC            FC_Q100        0.2     pMCSKY   54803.36      165.0      214.7        167        245
FC            FC_Q100        0.2       OURS    1745.80       20.7       52.1        167        245
FC            FC_Q100        0.4        SOP   61965.15      227.7      265.5         58         66
FC            FC_Q100        0.4     pMCSKY   62592.97      171.7      212.4         58         66
FC            FC_Q100        0.4       OURS    2579.13       21.0       45.5         58         66
FC            FC_Q100        0.8        SOP   76411.22      244.3      265.9        206        270
FC            FC_Q100        0.8     pMCSKY   77606.25      188.3      213.0        206        270
FC            FC_Q100        0.8       OURS    1665.32       21.0       45.8        206        270
FC            FC_Q100        1.0        SOP   75084.65      239.3      270.7        398        555

FC            FC_Q100        0.0        SOP    8544.88      234.0      279.0         84        114
FC            FC_Q100        0.0     pMCSKY    8539.19      193.7      279.0         84        114
FC            FC_Q100        0.0       OURS    1493.55       21.0       99.0         84        114
FC            FC_Q100        0.2        SOP   74191.19      243.7      329.0        283        380
FC            FC_Q100        0.2     pMCSKY   74465.38      187.3      272.0        283        380
FC            FC_Q100        0.2       OURS    2674.38       21.0       99.0        283        380
FC            FC_Q100        0.4        SOP   49467.79      218.7      326.0         77        105
FC            FC_Q100        0.4     pMCSKY   50386.82      162.7      272.0         77        105
FC            FC_Q100        0.4       OURS    1548.98       20.7      104.0         77        105
FC            FC_Q100        0.8        SOP   71581.59      239.7      325.0        282        378
FC            FC_Q100        0.8     pMCSKY   72325.64      183.7      270.0        282        378
FC            FC_Q100        0.8       OURS    1830.07       21.0      106.0        282        378
FC            FC_Q100        1.0        SOP   64910.91      233.3      321.0        276        369
FC            FC_Q100        1.0     pMCSKY   64886.81      176.7      269.0        276        369
FC            FC_Q100        1.0       OURS    2909.68       21.0      104.0        276        369

FC            FC_Q100        0.0        SOP    8979.53      234.3      316.0         61        100
FC            FC_Q100        0.0     pMCSKY    8623.08      193.3      277.0         61        100
FC            FC_Q100        0.0       OURS    2078.67       21.0       98.0         61        100

FC            FC_Q100        0.0        SOP   10033.09      251.3      260.0        256        304
FC            FC_Q100        0.0     pMCSKY   35462.53      204.3      214.0        256        304
FC            FC_Q100        0.0       OURS    2633.99       21.0       24.0        256        304
FC            FC_Q100        0.2        SOP   80487.81      246.3      261.0        183        273
FC            FC_Q100        0.2     pMCSKY   82272.72      190.3      196.0        183        273
FC            FC_Q100        0.2       OURS    2685.03       21.0       30.0        183        273
FC            FC_Q100        0.4        SOP   80366.03      254.0      267.0        319        457
FC            FC_Q100        0.4     pMCSKY   81158.81      198.0      211.0        319        457
FC            FC_Q100        0.4       OURS    2182.75       21.0       26.0        319        457
FC            FC_Q100        0.8        SOP   77411.25      252.3      271.0        138        196
FC            FC_Q100        0.8     pMCSKY   77804.26      196.0      215.0        138        196
FC            FC_Q100        0.8       OURS    3083.01       21.0       33.0        138        196
FC            FC_Q100        1.0        SOP   76234.96      255.0      270.0        248        470
FC            FC_Q100        1.0     pMCSKY   76295.59      199.0      215.0        248        470
FC            FC_Q100        1.0       OURS    4362.35       20.7       33.0        248        470

FC            FC_Q100        0.0        SOP   10530.87      250.3      260.0        203        379
FC            FC_Q100        0.0     pMCSKY   35588.01      203.3      214.0        203        379
FC            FC_Q100        0.0       OURS    3772.48       21.0       25.0        203        379


HPC          HPC_Q100        0.0        SOP    2080.43      135.0      191.0         55        142
HPC          HPC_Q100        0.0     pMCSKY    1897.63       91.3      148.0         55        142
HPC          HPC_Q100        0.0       OURS     178.77       11.7       29.0         55        142
HPC          HPC_Q100        0.4        SOP    5819.74      143.0      201.0         98        250

EM            EM_Q100        0.0        SOP   15157.63      642.1      684.0         19         25
